HOLE ID,X,Y,Z,from,to,USCS,SPT-N,FS,LPI
811674011121415_10KS-DSS002,183255.72,2515058.12,-,0.0,5.125,CL,7.0,0.855,5.649
811674011121415_10KS-DSS002,183255.72,2515058.12,-,5.125,6.825,SM,5.0,0.662,4.029
811674011121415_10KS-DSS002,183255.72,2515058.12,-,6.825,8.525,CL,5.0,0.637,3.803
811674011121415_10KS-DSS002,183255.72,2515058.12,-,8.525,9.825,CL,5.0,0.627,2.625
811674011121415_10KS-DSS002,183255.72,2515058.12,-,9.825,11.025,CL,6.0,0.685,1.81
811674011121415_10KS-DSS002,183255.72,2515058.12,-,11.025,12.525,CL,2.0,0.499,3.091
811674011121415_10KS-DSS002,183255.72,2515058.12,-,12.525,14.025,CL,3.0,0.572,2.159
811674011121415_10KS-DSS002,183255.72,2515058.12,-,14.025,15.525,SM,13.0,1.051,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,-,15.525,17.025,SM,14.0,1.045,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,-,17.025,18.525,CL-ML,17.0,1.486,0.0
811674011121415_10KS-DSS002,183255.72,2515058.12,-,18.525,20.0,SM,19.0,1.668,0.0
